filename,fields_total,fields_filled,completeness_pct,parse_success,parse_error,class_count,property_count,axiom_count,annotation_coverage_pct,comment_coverage_pct,import_count,language_count,has_title,has_namespace_uri,has_description,has_license,has_version,has_creators,data_property_count,object_property_count,annotation_score,foops_score,alignment_score,accessibility_score,quality_score,has_documentation,has_serialization,has_conceptual_model
dicob,13,10,76.9,True,,76,15,0,6.7,0.0,9,0,True,True,True,True,True,True,3,12,6.7,0.29,2.0,3.0,1.1,True,True,True
dicp,13,10,76.9,True,,24,40,0,52.4,0.0,5,0,True,True,True,True,True,True,4,36,52.4,0.29,2.0,3.0,1.5,True,True,True
dicstg,13,7,53.8,True,,0,0,0,0.0,0.0,3,0,True,True,True,False,True,True,0,0,0.0,0.29,2.0,3.0,1.0,True,True,True
dicu,13,7,53.8,True,,0,0,0,0.0,0.0,4,0,True,True,True,True,False,False,0,0,0.0,0.29,2.0,3.0,1.0,True,True,True
dicv,13,10,76.9,True,,28,30,0,78.2,0.0,3,0,True,True,True,True,True,True,6,24,78.2,0.29,1.0,3.0,1.8,True,True,True
dmo,13,5,38.5,True,,0,0,0,0.0,0.0,0,0,True,False,True,False,False,False,0,0,0.0,0.0,0.0,0.0,0.0,False,False,False
do,13,5,38.5,True,,0,0,0,0.0,0.0,0,0,True,False,True,False,False,False,0,0,0.0,0.0,0.0,1.0,1.0,True,False,True
dogont,13,10,76.9,True,,1083,96,0,22.6,0.0,5,0,True,True,True,True,True,True,64,32,22.6,0.15,1.0,3.0,1.2,True,True,True
dor,13,8,61.5,True,,85,28,0,98.6,0.0,4,0,True,True,True,True,False,False,10,18,98.6,0.15,3.0,3.0,2.0,True,True,True
dot,13,10,76.9,True,,14,15,0,100.0,0.0,7,0,True,True,True,True,True,True,2,13,100.0,0.78,3.0,3.0,2.0,True,True,True
dstv,13,9,69.2,True,,81,54,0,100.0,0.0,7,0,True,True,True,False,True,True,24,30,100.0,0.6,2.0,3.0,2.0,True,True,True
dtc,13,7,53.8,True,,63,56,0,100.0,0.0,11,0,True,True,True,True,False,False,21,35,100.0,0.04,3.0,3.0,2.0,True,True,True
ec,13,10,76.9,True,,122,34,0,0.0,0.0,5,0,True,True,True,True,True,True,8,26,0.0,0.64,3.0,3.0,1.0,True,True,True
eepsa,13,10,76.9,True,,1,0,0,0.0,0.0,7,0,True,True,True,True,True,True,0,0,0.0,0.68,1.0,3.0,0.0,False,True,True
emmo,13,10,76.9,True,,0,0,0,0.0,0.0,4,0,True,True,True,True,True,True,0,0,0.0,0.04,1.0,3.0,1.0,True,True,True
esair,13,10,76.9,True,,4,2,0,100.0,0.0,6,0,True,True,True,True,True,True,2,0,100.0,0.68,3.0,3.0,2.0,True,True,True
eurobau,13,8,61.5,True,,0,0,0,0.0,0.0,2,0,True,False,True,True,True,False,0,0,0.0,0.0,1.0,2.0,1.0,True,True,True
